robert half,"['RHI', 'Robert Half International', 50.904492640840836]"
rockwell,"['ROK', 'Rockwell Automation Inc.', 191.49043500596198]"
rollins,"['ROL', 'Rollins Inc.', 39.09833330347918]"
roper,"['ROP', 'Roper Technologies', 359.59282452127206]"
ross stores,"['ROST', 'Ross Stores', 97.63449276357457]"
royal caribbean,"['RCL', 'Royal Caribbean Cruises Ltd', 66.97492754286614]"
s&p ,"['SPGI', 'S&P Global Inc.', 292.78318875077844]"
salesforce,
sba ,
schlumberger,"['SLB', 'Schlumberger Ltd.', 22.833840598230775]"
seagate,
sealed air,
sempra,"['SRE', 'Sempra Energy', 131.33775379346764]"
servicenow,"['NOW', 'ServiceNow', 340.2526093635006]"
sherwin williams,"['SHW', 'Sherwin-Williams', 545.3068852079087]"
simon,
skyworks,"['SWKS', 'Skyworks Solutions', 110.92507271144702]"
sl green,
snap on,"['SNA', 'Snap-on', 137.30883988090184]"
southern company,"['SO', 'Southern Company', 58.858260666114695]"
southwest,"['LUV', 'Southwest Airlines', 40.14224656422933]"
black and decker,"['SWK', 'Stanley Black & Decker', 132.7505072441654]"
starbucks,"['SBUX', 'Starbucks Corp.', 77.6724640943002]"
state street,"['STT', 'State Street Corp.', 64.79311614105667]"
steris,"['STE', 'STERIS plc', 151.16485507246378]"
stryker,"['SYK', 'Stryker Corp.', 189.6460143379543]"
svb,
synchrony,
synopsys,"['SNPS', 'Synopsys Inc.', 157.28478285195172]"
sysco,"['SYY', 'Sysco Corp.', 60.40905792125757]"
t mobile,"['TMUS', 'T-Mobile US', 91.52615920357083]"
t rowe price,"['TROW', 'T. Rowe Price Group', 118.98840575287308]"
take two,"['TTWO', 'Take-Two Interactive', 126.47920238107875]"
tapestry,"['TPR', 'Tapestry Inc.', 18.31840578023938]"
target,"['TGT', 'Target Corp.', 113.17637678505717]"
te connectivity,
technip ,
teledyne,
teleflex,"['TFX', 'Teleflex', 348.89492808908653]"
texas instruments,"['TXN', 'Texas Instruments', 119.2973183894503]"
textron,
ny mellon,"['BK', 'The Bank of New York Mellon', 39.16971004873082]"
clorox,"['CLX', 'The Clorox Company', 186.4571015731148]"
cooper,"['COO', 'The Cooper Companies', 309.01282567563266]"
hershey,"['HSY', 'The Hershey Company', 139.88181199889252]"
mosaic,"['MOS', 'The Mosaic Company', 14.367101430892944]"
travelers,"['TRV', 'The Travelers Companies Inc.', 114.77427535126175]"
walt disney,"['DIS', 'The Walt Disney Company', 118.35840601160906]"
thermo fisher,
tiffany,"['TIF', 'Tiffany & Co.', 127.89717422706494]"
tjx,"['TJX', 'TJX Companies Inc.', 53.7297826020614]"
tractor supply,"['TSCO', 'Tractor Supply Company', 102.8028986281243]"
trane,"['TT', 'Trane Technologies plc', 102.94731892019078]"
transdigm,
truist,"['TFC', 'Truist Financial', 41.15746383390565]"
twitter,"['TWTR', 'Twitter Inc.', 31.492463761481687]"
tyler,"['TYL', 'Tyler Technologies', 325.1598559393399]"
tyson,"['TSN', 'Tyson Foods', 66.98355069367781]"
us bancorp,"['USB', 'U.S. Bancorp', 41.43586942423945]"
udr,
ulta,"['ULTA', 'Ulta Beauty', 229.75884036741394]"
under armour,"['UA', 'Under Armour (Class C)', 11.194492730541505]"
union pacific,"['UNP', 'Union Pacific Corp', 163.54123162532198]"
united airlines,"['UAL', 'United Airlines Holdings', 46.96739144256149]"
united health,
united parcel,"['UPS', 'United Parcel Service', 102.96384070576102]"
united rental,"['URI', 'United Rentals Inc.', 131.78594268577686]"
universal health,"['UHS', 'Universal Health Services', 111.67021743110989]"
unum,"['UNM', 'Unum Group', 19.652826136437014]"
valero,"['VLO', 'Valero Energy', 65.35181178217348]"
varian,"['VAR', 'Varian Medical Systems', 123.8269563757855]"
ventas,"['VTR', 'Ventas Inc', 40.96434788081957]"
verisign,"['VRSN', 'Verisign Inc.', 202.2032608916794]"
verisk,"['VRSK', 'Verisk Analytics', 158.57202839505845]"
verizon ,
vertex,"['VRTX', 'Vertex Pharmaceuticals Inc', 254.14239092840666]"
vf ,"['VFC', 'VF Corporation', 67.47079716558042]"
viacom,
visa,"['V', 'Visa Inc.', 186.25891312308934]"
vornado,"['VNO', 'Vornado Realty Trust', 46.952536154484406]"
vulcan,"['VMC', 'Vulcan Materials', 118.9854347118433]"
